Contig	Ten_total	Twenty_total
QPX_transcriptome_v1_Contig_1	3206	1878
QPX_transcriptome_v1_Contig_10	68075	81266
QPX_transcriptome_v1_Contig_100	482	135
QPX_transcriptome_v1_Contig_1000	1864	1354
QPX_transcriptome_v1_Contig_10000	165	117
QPX_transcriptome_v1_Contig_10001	209	117
QPX_transcriptome_v1_Contig_10002	106	123
QPX_transcriptome_v1_Contig_10003	187	245
QPX_transcriptome_v1_Contig_10004	138	108
QPX_transcriptome_v1_Contig_10005	449	342
QPX_transcriptome_v1_Contig_10006	733	454
QPX_transcriptome_v1_Contig_10007	498	299
QPX_transcriptome_v1_Contig_10008	207	59
QPX_transcriptome_v1_Contig_10009	107	155
QPX_transcriptome_v1_Contig_1001	1200	601
QPX_transcriptome_v1_Contig_10010	209	254
QPX_transcriptome_v1_Contig_10011	200	127
QPX_transcriptome_v1_Contig_10012	107	142
QPX_transcriptome_v1_Contig_10013	384	246
QPX_transcriptome_v1_Contig_10014	330	121
QPX_transcriptome_v1_Contig_10015	112	46
QPX_transcriptome_v1_Contig_10016	163	74
QPX_transcriptome_v1_Contig_10017	175	82
QPX_transcriptome_v1_Contig_10018	199	107
QPX_transcriptome_v1_Contig_10019	114	70
QPX_transcriptome_v1_Contig_1002	5123	2797
QPX_transcriptome_v1_Contig_10020	95	71
QPX_transcriptome_v1_Contig_10021	80	96
QPX_transcriptome_v1_Contig_10022	93	142
QPX_transcriptome_v1_Contig_10023	240	259
QPX_transcriptome_v1_Contig_10024	238	134
QPX_transcriptome_v1_Contig_10025	203	116
QPX_transcriptome_v1_Contig_10026	150	92
QPX_transcriptome_v1_Contig_10027	300	191
QPX_transcriptome_v1_Contig_10028	310	127
QPX_transcriptome_v1_Contig_10029	180	173
QPX_transcriptome_v1_Contig_1003	2629	1754
QPX_transcriptome_v1_Contig_10030	139	215
QPX_transcriptome_v1_Contig_10031	387	104
QPX_transcriptome_v1_Contig_10032	168	123
QPX_transcriptome_v1_Contig_10033	119	67
QPX_transcriptome_v1_Contig_10034	86	68
QPX_transcriptome_v1_Contig_10035	136	136
QPX_transcriptome_v1_Contig_10036	312	175
QPX_transcriptome_v1_Contig_10037	153	88
QPX_transcriptome_v1_Contig_10038	199	98
QPX_transcriptome_v1_Contig_10039	83	122
QPX_transcriptome_v1_Contig_1004	9460	3255
QPX_transcriptome_v1_Contig_10040	241	53
QPX_transcriptome_v1_Contig_10041	122	101
QPX_transcriptome_v1_Contig_10042	413	241
QPX_transcriptome_v1_Contig_10043	219	221
QPX_transcriptome_v1_Contig_10044	383	135
QPX_transcriptome_v1_Contig_10045	127	189
QPX_transcriptome_v1_Contig_10046	322	158
QPX_transcriptome_v1_Contig_10047	526	414
QPX_transcriptome_v1_Contig_10048	503	84
QPX_transcriptome_v1_Contig_10049	185	217
QPX_transcriptome_v1_Contig_1005	5083	5310
QPX_transcriptome_v1_Contig_10050	207	64
QPX_transcriptome_v1_Contig_10051	85	110
QPX_transcriptome_v1_Contig_10052	197	107
QPX_transcriptome_v1_Contig_10053	391	257
QPX_transcriptome_v1_Contig_10054	249	181
QPX_transcriptome_v1_Contig_10055	220	111
QPX_transcriptome_v1_Contig_10056	95	133
QPX_transcriptome_v1_Contig_10057	101	141
QPX_transcriptome_v1_Contig_10058	209	83
QPX_transcriptome_v1_Contig_10059	239	285
QPX_transcriptome_v1_Contig_1006	5661	1348
QPX_transcriptome_v1_Contig_10060	653	400
QPX_transcriptome_v1_Contig_10061	180	77
QPX_transcriptome_v1_Contig_10062	176	210
QPX_transcriptome_v1_Contig_10063	184	100
QPX_transcriptome_v1_Contig_10064	81	57
QPX_transcriptome_v1_Contig_10065	243	152
QPX_transcriptome_v1_Contig_10066	124	124
QPX_transcriptome_v1_Contig_10067	433	231
QPX_transcriptome_v1_Contig_10068	202	158
QPX_transcriptome_v1_Contig_10069	151	110
QPX_transcriptome_v1_Contig_1007	1117	375
QPX_transcriptome_v1_Contig_10070	157	183
QPX_transcriptome_v1_Contig_10071	174	100
QPX_transcriptome_v1_Contig_10072	174	205
QPX_transcriptome_v1_Contig_10073	151	142
QPX_transcriptome_v1_Contig_10074	185	90
QPX_transcriptome_v1_Contig_10075	276	139
QPX_transcriptome_v1_Contig_10076	263	161
QPX_transcriptome_v1_Contig_10077	287	314
QPX_transcriptome_v1_Contig_10078	215	137
QPX_transcriptome_v1_Contig_10079	274	140
QPX_transcriptome_v1_Contig_1008	1974	769
QPX_transcriptome_v1_Contig_10080	142	159
QPX_transcriptome_v1_Contig_10081	180	72
QPX_transcriptome_v1_Contig_10082	134	100
QPX_transcriptome_v1_Contig_10083	139	297
QPX_transcriptome_v1_Contig_10084	224	89
QPX_transcriptome_v1_Contig_10085	326	213
QPX_transcriptome_v1_Contig_10086	174	160
QPX_transcriptome_v1_Contig_10087	137	129
QPX_transcriptome_v1_Contig_10088	49	190
QPX_transcriptome_v1_Contig_10089	210	110
QPX_transcriptome_v1_Contig_1009	26660	10114
QPX_transcriptome_v1_Contig_10090	525	217
QPX_transcriptome_v1_Contig_10091	194	61
QPX_transcriptome_v1_Contig_10092	154	55
QPX_transcriptome_v1_Contig_10093	444	117
QPX_transcriptome_v1_Contig_10094	625	286
QPX_transcriptome_v1_Contig_10095	108	135
QPX_transcriptome_v1_Contig_10096	304	146
QPX_transcriptome_v1_Contig_10097	355	151
QPX_transcriptome_v1_Contig_10098	203	156
QPX_transcriptome_v1_Contig_10099	162	110
QPX_transcriptome_v1_Contig_101	385969	138163
QPX_transcriptome_v1_Contig_1010	29096	16950
QPX_transcriptome_v1_Contig_10100	135	104
QPX_transcriptome_v1_Contig_10101	156	144
QPX_transcriptome_v1_Contig_10102	186	271
QPX_transcriptome_v1_Contig_10103	235	321
QPX_transcriptome_v1_Contig_10104	154	63
QPX_transcriptome_v1_Contig_10105	92	214
QPX_transcriptome_v1_Contig_10106	114	80
QPX_transcriptome_v1_Contig_10107	174	289
QPX_transcriptome_v1_Contig_10108	194	85
QPX_transcriptome_v1_Contig_10109	130	62
QPX_transcriptome_v1_Contig_1011	3181	1805
QPX_transcriptome_v1_Contig_10110	176	76
QPX_transcriptome_v1_Contig_10111	114	101
QPX_transcriptome_v1_Contig_10112	115	105
QPX_transcriptome_v1_Contig_10113	149	99
QPX_transcriptome_v1_Contig_10114	107	181
QPX_transcriptome_v1_Contig_10115	175	75
QPX_transcriptome_v1_Contig_10116	695	801
QPX_transcriptome_v1_Contig_10117	274	169
QPX_transcriptome_v1_Contig_10118	260	508
QPX_transcriptome_v1_Contig_10119	276	147
QPX_transcriptome_v1_Contig_1012	504	227
QPX_transcriptome_v1_Contig_10120	200	313
QPX_transcriptome_v1_Contig_10121	96	102
QPX_transcriptome_v1_Contig_10122	190	106
QPX_transcriptome_v1_Contig_10123	172	58
QPX_transcriptome_v1_Contig_10124	84	134
QPX_transcriptome_v1_Contig_10125	267	110
QPX_transcriptome_v1_Contig_10126	91	148
QPX_transcriptome_v1_Contig_10127	134	64
QPX_transcriptome_v1_Contig_10128	159	210
QPX_transcriptome_v1_Contig_10129	179	61
QPX_transcriptome_v1_Contig_1013	701	283
QPX_transcriptome_v1_Contig_10130	174	107
QPX_transcriptome_v1_Contig_10131	64	92
QPX_transcriptome_v1_Contig_10132	140	113
QPX_transcriptome_v1_Contig_10133	124	154
QPX_transcriptome_v1_Contig_10134	215	166
QPX_transcriptome_v1_Contig_10135	115	93
QPX_transcriptome_v1_Contig_10136	201	80
QPX_transcriptome_v1_Contig_10137	248	93
QPX_transcriptome_v1_Contig_10138	387	133
QPX_transcriptome_v1_Contig_10139	194	301
QPX_transcriptome_v1_Contig_1014	8633	2813
QPX_transcriptome_v1_Contig_10140	222	289
QPX_transcriptome_v1_Contig_10141	171	130
QPX_transcriptome_v1_Contig_10142	148	249
QPX_transcriptome_v1_Contig_10143	235	156
QPX_transcriptome_v1_Contig_10144	202	97
QPX_transcriptome_v1_Contig_10145	164	92
QPX_transcriptome_v1_Contig_10146	366	142
QPX_transcriptome_v1_Contig_10147	164	119
QPX_transcriptome_v1_Contig_10148	88	116
QPX_transcriptome_v1_Contig_10149	140	208
QPX_transcriptome_v1_Contig_1015	1459	676
QPX_transcriptome_v1_Contig_10150	176	232
QPX_transcriptome_v1_Contig_10151	340	284
QPX_transcriptome_v1_Contig_10152	75	136
QPX_transcriptome_v1_Contig_10153	123	46
QPX_transcriptome_v1_Contig_10154	299	203
QPX_transcriptome_v1_Contig_10155	318	476
QPX_transcriptome_v1_Contig_10156	148	88
QPX_transcriptome_v1_Contig_10157	430	222
QPX_transcriptome_v1_Contig_10158	168	88
QPX_transcriptome_v1_Contig_10159	205	98
QPX_transcriptome_v1_Contig_1016	2536	1074
QPX_transcriptome_v1_Contig_10160	222	132
QPX_transcriptome_v1_Contig_10161	99	118
QPX_transcriptome_v1_Contig_10162	59	138
QPX_transcriptome_v1_Contig_10163	165	68
QPX_transcriptome_v1_Contig_10164	119	126
QPX_transcriptome_v1_Contig_10165	193	169
QPX_transcriptome_v1_Contig_10166	93	57
QPX_transcriptome_v1_Contig_10168	165	153
QPX_transcriptome_v1_Contig_10169	96	58
QPX_transcriptome_v1_Contig_1017	19615	5682
QPX_transcriptome_v1_Contig_10170	140	67
QPX_transcriptome_v1_Contig_10171	197	90
QPX_transcriptome_v1_Contig_10172	170	129
QPX_transcriptome_v1_Contig_10173	95	115
QPX_transcriptome_v1_Contig_10174	350	169
QPX_transcriptome_v1_Contig_10175	283	166
QPX_transcriptome_v1_Contig_10176	193	317
QPX_transcriptome_v1_Contig_10177	203	115
QPX_transcriptome_v1_Contig_10178	192	196
QPX_transcriptome_v1_Contig_10179	175	482
QPX_transcriptome_v1_Contig_1018	2753	675
QPX_transcriptome_v1_Contig_10180	138	125
QPX_transcriptome_v1_Contig_10181	235	147
QPX_transcriptome_v1_Contig_10182	564	223
QPX_transcriptome_v1_Contig_10183	257	265
QPX_transcriptome_v1_Contig_10184	125	177
QPX_transcriptome_v1_Contig_10185	128	93
QPX_transcriptome_v1_Contig_10186	171	266
QPX_transcriptome_v1_Contig_10187	255	72
QPX_transcriptome_v1_Contig_10188	214	277
QPX_transcriptome_v1_Contig_10189	160	89
QPX_transcriptome_v1_Contig_1019	7528	1674
QPX_transcriptome_v1_Contig_10190	54	93
QPX_transcriptome_v1_Contig_10191	330	421
QPX_transcriptome_v1_Contig_10192	115	117
QPX_transcriptome_v1_Contig_10193	233	119
QPX_transcriptome_v1_Contig_10194	198	90
QPX_transcriptome_v1_Contig_10195	163	93
QPX_transcriptome_v1_Contig_10196	315	198
QPX_transcriptome_v1_Contig_10197	108	281
QPX_transcriptome_v1_Contig_10198	381	109
QPX_transcriptome_v1_Contig_10199	371	174
QPX_transcriptome_v1_Contig_102	76570	48003
QPX_transcriptome_v1_Contig_1020	8349	3101
QPX_transcriptome_v1_Contig_10200	165	162
QPX_transcriptome_v1_Contig_10201	567	137
QPX_transcriptome_v1_Contig_10202	193	127
QPX_transcriptome_v1_Contig_10203	550	313
QPX_transcriptome_v1_Contig_10204	168	55
QPX_transcriptome_v1_Contig_10205	201	194
QPX_transcriptome_v1_Contig_10206	98	59
QPX_transcriptome_v1_Contig_10207	116	202
QPX_transcriptome_v1_Contig_10208	200	147
QPX_transcriptome_v1_Contig_10209	98	88
QPX_transcriptome_v1_Contig_1021	6414	4148
QPX_transcriptome_v1_Contig_10210	123	50
QPX_transcriptome_v1_Contig_10211	400	289
QPX_transcriptome_v1_Contig_10212	111	161
QPX_transcriptome_v1_Contig_10213	60	76
QPX_transcriptome_v1_Contig_10214	158	154
QPX_transcriptome_v1_Contig_10215	318	190
QPX_transcriptome_v1_Contig_10216	199	253
QPX_transcriptome_v1_Contig_10217	251	281
QPX_transcriptome_v1_Contig_10218	201	75
QPX_transcriptome_v1_Contig_10219	196	169
QPX_transcriptome_v1_Contig_1022	2205	1075
QPX_transcriptome_v1_Contig_10220	304	129
QPX_transcriptome_v1_Contig_10221	690	449
QPX_transcriptome_v1_Contig_10222	475	267
QPX_transcriptome_v1_Contig_10223	342	459
QPX_transcriptome_v1_Contig_10224	111	184
QPX_transcriptome_v1_Contig_10225	69	173
QPX_transcriptome_v1_Contig_10226	246	136
QPX_transcriptome_v1_Contig_10227	247	114
QPX_transcriptome_v1_Contig_10228	76	88
QPX_transcriptome_v1_Contig_10229	185	127
QPX_transcriptome_v1_Contig_1023	1680	611
QPX_transcriptome_v1_Contig_10230	96	174
QPX_transcriptome_v1_Contig_10231	81	70
QPX_transcriptome_v1_Contig_10232	146	99
QPX_transcriptome_v1_Contig_10233	198	65
QPX_transcriptome_v1_Contig_10234	302	123
QPX_transcriptome_v1_Contig_10235	135	77
QPX_transcriptome_v1_Contig_10236	169	66
QPX_transcriptome_v1_Contig_10237	98	148
QPX_transcriptome_v1_Contig_10238	402	303
QPX_transcriptome_v1_Contig_10239	220	104
QPX_transcriptome_v1_Contig_1024	4615	3244
QPX_transcriptome_v1_Contig_10240	193	88
QPX_transcriptome_v1_Contig_10241	99	77
QPX_transcriptome_v1_Contig_10242	143	97
QPX_transcriptome_v1_Contig_10243	371	342
QPX_transcriptome_v1_Contig_10244	296	172
QPX_transcriptome_v1_Contig_10245	109	99
QPX_transcriptome_v1_Contig_10246	109	135
QPX_transcriptome_v1_Contig_10247	138	90
QPX_transcriptome_v1_Contig_10248	265	234
QPX_transcriptome_v1_Contig_10249	486	344
QPX_transcriptome_v1_Contig_1025	747	295
QPX_transcriptome_v1_Contig_10250	100	88
QPX_transcriptome_v1_Contig_10251	130	275
QPX_transcriptome_v1_Contig_10252	270	88
QPX_transcriptome_v1_Contig_10253	100	127
QPX_transcriptome_v1_Contig_10254	122	102
QPX_transcriptome_v1_Contig_10255	330	210
QPX_transcriptome_v1_Contig_10256	175	209
QPX_transcriptome_v1_Contig_10257	442	176
QPX_transcriptome_v1_Contig_10258	542	284
QPX_transcriptome_v1_Contig_10259	166	146
QPX_transcriptome_v1_Contig_1026	990	334
QPX_transcriptome_v1_Contig_10260	132	65
QPX_transcriptome_v1_Contig_10261	183	60
QPX_transcriptome_v1_Contig_10262	273	83
QPX_transcriptome_v1_Contig_10263	276	103
QPX_transcriptome_v1_Contig_10264	313	305
QPX_transcriptome_v1_Contig_10265	142	80
QPX_transcriptome_v1_Contig_10266	111	141
QPX_transcriptome_v1_Contig_10267	164	109
QPX_transcriptome_v1_Contig_10268	156	117
QPX_transcriptome_v1_Contig_10269	155	197
QPX_transcriptome_v1_Contig_1027	23466	23497
QPX_transcriptome_v1_Contig_10270	203	220
QPX_transcriptome_v1_Contig_10271	220	128
QPX_transcriptome_v1_Contig_10272	78	67
QPX_transcriptome_v1_Contig_10273	153	183
QPX_transcriptome_v1_Contig_10274	206	92
QPX_transcriptome_v1_Contig_10275	98	64
QPX_transcriptome_v1_Contig_10276	527	169
QPX_transcriptome_v1_Contig_10277	134	191
QPX_transcriptome_v1_Contig_10278	451	142
QPX_transcriptome_v1_Contig_10279	399	180
QPX_transcriptome_v1_Contig_1028	165	141
QPX_transcriptome_v1_Contig_10280	114	59
QPX_transcriptome_v1_Contig_10281	323	54
QPX_transcriptome_v1_Contig_10282	135	73
QPX_transcriptome_v1_Contig_10283	219	95
QPX_transcriptome_v1_Contig_10284	375	257
QPX_transcriptome_v1_Contig_10285	311	146
QPX_transcriptome_v1_Contig_10286	118	102
QPX_transcriptome_v1_Contig_10287	173	131
QPX_transcriptome_v1_Contig_10288	125	114
QPX_transcriptome_v1_Contig_10289	177	134
QPX_transcriptome_v1_Contig_1029	15665	9721
QPX_transcriptome_v1_Contig_10290	324	160
QPX_transcriptome_v1_Contig_10291	118	110
QPX_transcriptome_v1_Contig_10292	97	50
QPX_transcriptome_v1_Contig_10293	211	56
QPX_transcriptome_v1_Contig_10294	269	122
QPX_transcriptome_v1_Contig_10295	197	169
QPX_transcriptome_v1_Contig_10296	184	150
QPX_transcriptome_v1_Contig_10297	180	213
QPX_transcriptome_v1_Contig_10298	88	124
QPX_transcriptome_v1_Contig_10299	648	431
QPX_transcriptome_v1_Contig_103	4919	1978
QPX_transcriptome_v1_Contig_1030	1463	1126
QPX_transcriptome_v1_Contig_10300	406	318
QPX_transcriptome_v1_Contig_10301	170	89
QPX_transcriptome_v1_Contig_10302	310	155
QPX_transcriptome_v1_Contig_10303	226	235
QPX_transcriptome_v1_Contig_10304	503	66
QPX_transcriptome_v1_Contig_10305	190	91
QPX_transcriptome_v1_Contig_10306	304	134
QPX_transcriptome_v1_Contig_10307	226	65
QPX_transcriptome_v1_Contig_10308	396	240
QPX_transcriptome_v1_Contig_10309	200	51
QPX_transcriptome_v1_Contig_1031	14584	5924
QPX_transcriptome_v1_Contig_10310	196	230
QPX_transcriptome_v1_Contig_10311	113	164
QPX_transcriptome_v1_Contig_10312	85	132
QPX_transcriptome_v1_Contig_10313	199	134
QPX_transcriptome_v1_Contig_10314	244	49
QPX_transcriptome_v1_Contig_10315	103	78
QPX_transcriptome_v1_Contig_10316	398	181
QPX_transcriptome_v1_Contig_10317	155	82
QPX_transcriptome_v1_Contig_10318	115	159
QPX_transcriptome_v1_Contig_10319	125	135
QPX_transcriptome_v1_Contig_1032	518	450
QPX_transcriptome_v1_Contig_10320	220	111
QPX_transcriptome_v1_Contig_10321	137	118
QPX_transcriptome_v1_Contig_10322	323	293
QPX_transcriptome_v1_Contig_10323	146	115
QPX_transcriptome_v1_Contig_10324	140	130
QPX_transcriptome_v1_Contig_10325	179	256
QPX_transcriptome_v1_Contig_10326	236	79
QPX_transcriptome_v1_Contig_10327	87	107
QPX_transcriptome_v1_Contig_10328	88	143
QPX_transcriptome_v1_Contig_10329	107	139
QPX_transcriptome_v1_Contig_1033	6535	5020
QPX_transcriptome_v1_Contig_10330	161	114
QPX_transcriptome_v1_Contig_10331	209	100
QPX_transcriptome_v1_Contig_10332	115	137
QPX_transcriptome_v1_Contig_10333	496	211
QPX_transcriptome_v1_Contig_10334	120	103
QPX_transcriptome_v1_Contig_10335	145	186
QPX_transcriptome_v1_Contig_10336	292	315
QPX_transcriptome_v1_Contig_10337	232	115
QPX_transcriptome_v1_Contig_10338	193	77
QPX_transcriptome_v1_Contig_10339	156	76
QPX_transcriptome_v1_Contig_1034	1042	513
QPX_transcriptome_v1_Contig_10340	140	147
QPX_transcriptome_v1_Contig_10341	189	54
QPX_transcriptome_v1_Contig_10342	380	185
QPX_transcriptome_v1_Contig_10343	313	122
QPX_transcriptome_v1_Contig_10344	188	196
QPX_transcriptome_v1_Contig_10345	130	44
QPX_transcriptome_v1_Contig_10346	269	234
QPX_transcriptome_v1_Contig_10347	269	103
QPX_transcriptome_v1_Contig_10348	353	273
QPX_transcriptome_v1_Contig_10349	116	107
QPX_transcriptome_v1_Contig_1035	2978	1480
QPX_transcriptome_v1_Contig_10350	303	151
QPX_transcriptome_v1_Contig_10351	176	76
QPX_transcriptome_v1_Contig_10352	92	152
QPX_transcriptome_v1_Contig_10353	325	58
QPX_transcriptome_v1_Contig_10354	109	127
QPX_transcriptome_v1_Contig_10355	136	138
QPX_transcriptome_v1_Contig_10356	231	96
QPX_transcriptome_v1_Contig_10357	206	108
QPX_transcriptome_v1_Contig_10358	105	97
QPX_transcriptome_v1_Contig_10359	71	157
QPX_transcriptome_v1_Contig_1036	391	239
QPX_transcriptome_v1_Contig_10360	571	270
QPX_transcriptome_v1_Contig_10361	125	94
QPX_transcriptome_v1_Contig_10362	163	110
QPX_transcriptome_v1_Contig_10363	157	130
QPX_transcriptome_v1_Contig_10364	239	259
QPX_transcriptome_v1_Contig_10365	261	139
QPX_transcriptome_v1_Contig_10366	182	102
QPX_transcriptome_v1_Contig_10367	105	55
QPX_transcriptome_v1_Contig_10368	202	91
QPX_transcriptome_v1_Contig_10369	121	180
QPX_transcriptome_v1_Contig_1037	7264	3822
QPX_transcriptome_v1_Contig_10370	140	105
QPX_transcriptome_v1_Contig_10371	294	80
QPX_transcriptome_v1_Contig_10372	76	150
QPX_transcriptome_v1_Contig_10373	130	49
QPX_transcriptome_v1_Contig_10374	246	94
QPX_transcriptome_v1_Contig_10375	103	85
QPX_transcriptome_v1_Contig_10376	236	112
QPX_transcriptome_v1_Contig_10377	231	112
QPX_transcriptome_v1_Contig_10378	521	311
QPX_transcriptome_v1_Contig_10379	205	116
QPX_transcriptome_v1_Contig_1038	2084	1838
QPX_transcriptome_v1_Contig_10380	447	223
QPX_transcriptome_v1_Contig_10381	163	81
QPX_transcriptome_v1_Contig_10382	324	86
QPX_transcriptome_v1_Contig_10383	123	250
QPX_transcriptome_v1_Contig_10384	376	231
QPX_transcriptome_v1_Contig_10385	200	86
QPX_transcriptome_v1_Contig_10386	172	141
QPX_transcriptome_v1_Contig_10387	373	168
QPX_transcriptome_v1_Contig_10388	150	69
QPX_transcriptome_v1_Contig_10389	178	98
QPX_transcriptome_v1_Contig_1039	1732	581
QPX_transcriptome_v1_Contig_10390	96	142
QPX_transcriptome_v1_Contig_10391	123	83
QPX_transcriptome_v1_Contig_10392	101	67
QPX_transcriptome_v1_Contig_10393	194	118
QPX_transcriptome_v1_Contig_10394	242	115
QPX_transcriptome_v1_Contig_10395	400	279
QPX_transcriptome_v1_Contig_10396	149	65
QPX_transcriptome_v1_Contig_10397	92	80
QPX_transcriptome_v1_Contig_10398	123	77
QPX_transcriptome_v1_Contig_10399	174	114
QPX_transcriptome_v1_Contig_104	282317	251536
QPX_transcriptome_v1_Contig_1040	1831	877
QPX_transcriptome_v1_Contig_10400	724	306
QPX_transcriptome_v1_Contig_10401	184	117
QPX_transcriptome_v1_Contig_10402	157	213
QPX_transcriptome_v1_Contig_10403	120	109
QPX_transcriptome_v1_Contig_10404	181	133
QPX_transcriptome_v1_Contig_10405	233	172
QPX_transcriptome_v1_Contig_10406	132	80
QPX_transcriptome_v1_Contig_10407	294	411
QPX_transcriptome_v1_Contig_10408	341	162
QPX_transcriptome_v1_Contig_10409	403	162
QPX_transcriptome_v1_Contig_1041	4092	2318
QPX_transcriptome_v1_Contig_10410	122	116
QPX_transcriptome_v1_Contig_10411	202	172
QPX_transcriptome_v1_Contig_10412	177	67
QPX_transcriptome_v1_Contig_10413	368	428
QPX_transcriptome_v1_Contig_10414	156	128
QPX_transcriptome_v1_Contig_10415	84	106
QPX_transcriptome_v1_Contig_10416	204	200
QPX_transcriptome_v1_Contig_10417	887	445
QPX_transcriptome_v1_Contig_10418	127	103
QPX_transcriptome_v1_Contig_10419	3080	3466
QPX_transcriptome_v1_Contig_1042	804	485
QPX_transcriptome_v1_Contig_10420	246	197
QPX_transcriptome_v1_Contig_10421	363	190
QPX_transcriptome_v1_Contig_10422	307	252
QPX_transcriptome_v1_Contig_10423	185	341
QPX_transcriptome_v1_Contig_10424	383	341
QPX_transcriptome_v1_Contig_10425	133	73
QPX_transcriptome_v1_Contig_10426	107	72
QPX_transcriptome_v1_Contig_10427	104	65
QPX_transcriptome_v1_Contig_10428	171	59
QPX_transcriptome_v1_Contig_10429	191	159
QPX_transcriptome_v1_Contig_1043	810	352
QPX_transcriptome_v1_Contig_10430	182	71
